food_code,food_name,region,energy_kj,protein_g,fat_g,carbohydrates_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,zinc_mg,phosphorus_mg,potassium_mg,sodium_mg,vitamin_c_mg,folate_mcg
D076,"Tomato, ripe, local",6,82,0.9,0.47,2.71,1.77,10.17,0.3,13.65,0.12,18.77,204.0,9.73,27.47,19.46
D077,"Zucchini, green",2,84,1.1,0.51,2.33,2.3,17.26,0.52,15.41,0.29,21.38,178.0,0.4,15.78,18.85
D078,"Zucchini, yellow",2,79,1.31,0.44,2.2,1.84,20.98,0.34,10.82,0.27,32.03,131.0,0.39,16.71,21.5
E001,"Apple, big",6,261,0.29,0.64,13.11,2.59,13.68,0.26,8.09,0.09,10.44,116.0,1.43,3.57,3.04
E002,"Apple, green",6,214,0.46,0.5,10.65,2.54,6.53,0.2,5.42,0.08,7.48,94.55,1.47,2.9,3.43
E003,"Apple, small",6,267,0.31,0.53,13.95,2.06,5.39,0.25,5.48,0.05,8.39,100.0,1.45,4.0,3.52
E004,"Apple, small, Kashmir",1,269,0.27,0.6,13.99,2.07,4.72,0.21,5.19,0.08,10.72,106.0,1.22,4.24,3.97
E005,"Apricot, dried",6,1321,3.17,0.74,72.63,3.32,28.57,2.5,14.04,0.41,72.02,285.0,3.94,0.42,10.5
E006,"Apricot, processed",3,236,1.47,0.64,10.93,0.59,5.42,1.12,4.29,0.26,27.33,95.0,1.6,7.98,5.42
E007,Avocado fruit,1,604,2.95,13.86,1.75,6.69,28.48,0.81,48.14,0.75,63.14,377.0,2.81,9.36,67.17
E008,Bael fruit,1,569,2.63,0.57,28.21,6.31,47.95,0.23,34.1,0.14,37.29,409.0,1.56,7.5,55.22
E009,"Banana, ripe, montham",1,463,1.25,0.32,24.95,2.21,6.77,0.4,30.22,0.15,20.85,362.0,1.25,8.06,17.93
E010,"Banana, ripe, poovam",2,445,1.49,0.35,23.41,2.33,8.73,0.35,43.79,0.17,33.63,335.0,1.0,6.74,19.95
E011,"Banana, ripe, red",1,467,1.29,0.29,25.21,1.98,9.56,0.24,31.44,0.09,23.27,313.0,1.11,6.74,18.92
E012,"Banana, ripe, robusta",6,440,1.23,0.33,23.63,1.94,5.07,0.28,34.98,0.14,24.32,306.0,0.85,4.76,16.81
E013,Black berry,5,227,0.92,0.63,10.64,4.35,23.81,0.63,30.9,0.11,20.08,205.0,1.21,19.45,22.95
E014,"Cherries, red",4,250,1.49,0.46,11.87,2.12,23.88,0.36,14.37,0.12,25.31,165.0,1.64,8.82,4.92
E015,"Currants, black",1,227,1.51,0.53,9.93,4.07,40.32,1.36,16.66,0.21,78.8,283.0,1.45,182.0,8.48
E016,Custard apple,1,414,1.62,0.67,20.38,5.1,28.2,0.42,38.47,0.22,40.81,278.0,3.11,21.51,7.6
E017,"Dates, dry, pale brown",6,1340,2.45,0.35,74.91,8.95,71.2,3.2,73.79,0.7,73.02,804.0,3.27,4.42,18.65
